rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,period_err1,period_err2,impact_parameter,impact_parameter_err1,impact_parameter_err2,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,radius,radius_prad_err1,radiusprad_err2,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_eff_temp_err1,stellar_eff_temp_err2,stellar_surf_grav,stellar_surf_grav_err1,stellar_surf_grav_err2,stellar_metal,stellar_metal_err1,stellar_metal_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,stellar_mass,stellar_mass_err1,stellar_mass_err2,ra,dec,disposition_num
5182,5193077,K03492.01,,FALSE POSITIVE,FALSE POSITIVE,22.2941485,0.000342,-0.000342,0.709,0.243,-0.488,3.188,0.704,-0.704,101.0,14.9,-14.9,1.5,0.31,-0.32,0.164,88.94,760.0,6.1329284,12.06953,13.6,48.0,0.869,5915.0,160.0,-178.0,4.223,0.165,-0.135,0.26,0.15,-0.3,1.392,0.291,-0.291,1.183,0.109,-0.176,293.57211,40.3578,0
5184,8880123,K03493.01,,CANDIDATE,CANDIDATE,46.7162336,0.000837,-0.000837,0.266,0.205,-0.266,7.259,0.417,-0.417,346.0,26.4,-26.4,2.03,0.33,-0.18,0.2588,89.68,531.0,4.731723,12.313621,15.4,31.0,0.3724,5856.0,79.0,-79.0,4.386,0.066,-0.123,0.16,0.15,-0.15,1.092,0.18,-0.097,1.057,0.07,-0.064,289.8288,45.10276,1
5185,9474756,K03495.01,,CANDIDATE,CANDIDATE,17.6062701,0.000398,-0.000398,0.923,0.031,-0.63,6.134,0.612,-0.612,146.0,15.4,-15.4,1.72,0.27,-0.22,0.1342,84.25,753.0,4.3985424,9.151304,10.4,75.0,0.5439,5808.0,78.0,-78.0,4.326,0.11,-0.11,0.16,0.15,-0.15,1.159,0.185,-0.151,1.038,0.073,-0.066,295.55374,46.02911,1
5186,10068919,K03573.01,,FALSE POSITIVE,FALSE POSITIVE,43.56225858,2.73e-05,-2.73e-05,1.295,36.42,-0.116,3.6873,0.0305,-0.0305,51300.0,368.0,-368.0,80.02,25.3,-12.6,0.2498,89.13,624.0,457.15887,1590.8586,163.6,29.0,0.9873,6411.0,162.0,-194.0,4.307,0.108,-0.201,-0.2,0.25,-0.3,1.216,0.384,-0.192,1.091,0.177,-0.129,289.26416,47.005989,0
5187,7353970,K03574.01,,FALSE POSITIVE,FALSE POSITIVE,198.443477,0.000115,-0.000115,1.149,0.051,-0.043,9.9776,0.0268,-0.0268,39900.0,103.0,-103.0,41.72,4.23,-2.79,0.6367,89.5,279.0,670.0671,1705.5354,464.2,8.0,0.6451,5420.0,107.0,-107.0,4.502,0.056,-0.077,0.0,0.15,-0.15,0.868,0.088,-0.058,0.874,0.054,-0.049,289.02493,42.935928,0
5188,12316447,K03575.01,,FALSE POSITIVE,FALSE POSITIVE,17.90766473,3.62e-06,-3.62e-06,2.79,0.146,-0.154,5.58652,0.00892,-0.00892,265000.0,211.0,-211.0,282.86,92.7,-31.0,0.1386,86.89,746.0,649.396,2969.3948,1731.4,0.0,-1.0,6173.0,193.0,-236.0,4.447,0.054,-0.216,-0.04,0.25,-0.3,1.041,0.341,-0.114,1.104,0.146,-0.162,296.11542,51.007111,0
5189,5823557,K07743.01,,FALSE POSITIVE,FALSE POSITIVE,2.4044122,3.67e-05,-3.67e-05,0.559,0.004,-0.482,4.575,0.591,-0.591,42.7,5.2,-5.2,0.85,0.26,-0.16,0.036,80.64,1662.0,3.8443632,8.707376,10.8,562.0,0.3063,6398.0,175.0,-214.0,4.276,0.132,-0.198,-0.22,0.25,-0.3,1.249,0.38,-0.234,1.07,0.177,-0.129,299.63028,41.03569,0
5190,10491554,K03576.01,,FALSE POSITIVE,FALSE POSITIVE,22.77196484,2.33e-05,-2.33e-05,0.603,0.045,-0.043,8.3476,0.0288,-0.0288,325000.0,1060.0,-1060.0,104.17,28.9,-38.5,0.159,88.89,835.0,1013.53094,2263.9436,305.2,26.0,0.0001,6049.0,211.0,-211.0,4.067,0.35,-0.15,-0.22,0.3,-0.3,1.557,0.432,-0.576,1.032,0.165,-0.15,298.91333,47.657871,0
5191,9785454,K03577.01,,FALSE POSITIVE,FALSE POSITIVE,184.5201539,4.78e-05,-4.78e-05,0.886,0.008,-0.008,15.3564,0.0172,-0.0172,49300.0,43.9,-43.9,23.38,4.21,-3.17,0.5682,89.4,275.0,719.69855,1568.6637,1759.1,8.0,0.0,5341.0,160.0,-144.0,4.514,0.096,-0.132,-0.44,0.35,-0.3,0.776,0.14,-0.105,0.718,0.115,-0.046,297.34164,46.543362,0
5192,8636333,K03349.01,Kepler-1475 b,CONFIRMED,CANDIDATE,82.175197,0.00113,-0.00113,0.015,0.44,-0.015,8.664,0.323,-0.323,546.0,30.5,-30.5,2.24,0.68,-0.23,0.373,89.99,441.0,5.4137173,14.928787,20.8,17.0,0.8359,6247.0,188.0,-206.0,4.489,0.05,-0.2,-0.34,0.3,-0.3,0.954,0.291,-0.097,1.022,0.134,-0.134,295.94827,44.75312,1
5193,7136958,K03350.01,,FALSE POSITIVE,FALSE POSITIVE,29.01585293,5.7e-06,-5.7e-06,12.223,21.37,-1.743,7.19844,0.00823,-0.00823,71400.0,65.5,-65.5,1183.06,328.0,-201.0,0.1745,81.57,592.0,745.7556,3503.7432,1268.8,42.0,0.801,5783.0,190.0,-190.0,4.415,0.139,-0.186,-0.36,0.3,-0.3,0.941,0.261,-0.16,0.841,0.116,-0.068,296.93976,42.691921,0
5194,1995732,K03351.01,,FALSE POSITIVE,FALSE POSITIVE,77.36241476,2.22e-05,-2.22e-05,0.995,0.03,-0.035,12.1317,0.0118,-0.0118,96600.0,90.7,-90.7,41.66,7.54,-3.48,0.3362,88.94,362.0,423.9467,1495.8511,1246.3,18.0,0.0619,5359.0,159.0,-159.0,4.57,0.037,-0.112,-0.12,0.3,-0.3,0.79,0.143,-0.066,0.848,0.087,-0.087,286.216,37.42524,0
5195,6069674,K07761.01,,FALSE POSITIVE,FALSE POSITIVE,495.71095,0.0159,-0.0159,0.718,0.244,-0.496,4.514,0.817,-0.817,443.0,67.3,-67.3,4.41,1.08,-2.01,1.2788,89.93,330.0,5.2905045,7.565425,8.5,3.0,0.9989,6054.0,201.0,-201.0,3.911,0.472,-0.118,-0.22,0.3,-0.3,1.953,0.479,-0.89,1.135,0.178,-0.218,298.88452,41.300442,0
5196,8081239,K03352.01,Kepler-1476 b,CONFIRMED,CANDIDATE,10.35857039,6.26e-05,-6.26e-05,0.074,0.373,-0.074,2.577,0.123,-0.123,274.0,21.2,-21.2,1.68,0.5,-0.22,0.0932,89.86,860.0,3.2913315,12.548059,15.1,133.0,0.1145,5893.0,158.0,-176.0,4.423,0.084,-0.196,-0.02,0.25,-0.3,1.02,0.305,-0.131,1.005,0.127,-0.115,284.5321,43.98996,1
5197,5308663,K01562.02,,CANDIDATE,CANDIDATE,20.0679247,0.000276,-0.000276,0.849,0.104,-0.628,5.236,0.228,-0.228,482.0,35.3,-35.3,2.25,0.66,-0.21,0.1442,87.09,662.0,3.1838238,8.238079,13.8,56.0,0.9953,5997.0,189.0,-231.0,4.522,0.05,-0.2,-0.22,0.3,-0.3,0.904,0.264,-0.088,0.991,0.118,-0.131,299.556,40.456551,1
5198,3745559,K03423.01,,CANDIDATE,CANDIDATE,30.2541186,0.000208,-0.000208,0.122,0.331,-0.122,2.134,0.177,-0.177,576.0,56.4,-56.4,2.8,0.96,-0.32,0.2043,89.94,660.0,5.561186,18.625946,12.3,47.0,0.2976,6277.0,170.0,-208.0,4.402,0.056,-0.224,0.21,0.2,-0.3,1.161,0.4,-0.133,1.239,0.168,-0.168,291.06204,38.863312,1
5199,8356054,K03424.01,,FALSE POSITIVE,FALSE POSITIVE,17.08120242,2.59e-06,-2.59e-06,0.915,0.031,-0.029,7.20617,0.00594,-0.00594,134000.0,105.0,-105.0,39.24,7.15,-3.05,0.1189,87.58,585.0,1255.3544,4531.588,1524.8,0.0,-1.0,5431.0,189.0,-189.0,4.623,0.035,-0.105,-0.5,0.3,-0.3,0.708,0.129,-0.055,0.769,0.082,-0.074,287.9726,44.333611,0
5200,9117416,K03425.01,,CANDIDATE,CANDIDATE,20.034708,0.000182,-0.000182,0.193,0.27,-0.193,6.49,0.209,-0.209,124.0,5.8,-5.8,2.24,0.52,-0.9,0.1557,89.53,967.0,4.421295,16.491846,22.9,69.0,0.2456,6120.0,195.0,-217.0,3.934,0.398,-0.133,0.02,0.25,-0.3,2.0,0.467,-0.801,1.251,0.19,-0.233,300.31619,45.49538,1
5201,6356400,K07776.01,,CANDIDATE,CANDIDATE,541.92452,0.0193,-0.0193,0.95,0.026,-0.654,21.4,1.7,-1.7,1500.0,97.1,-97.1,3.15,0.23,-0.29,1.098,89.36,144.0,6.357032,9.647261,18.1,3.0,0.9324,4378.0,131.0,-131.0,4.64,0.052,-0.024,-0.34,0.3,-0.3,0.614,0.045,-0.056,0.601,0.07,-0.047,289.28772,41.799938,1
5202,9117416,K03425.02,,CANDIDATE,CANDIDATE,3.15722086,1.95e-05,-1.95e-05,0.001,0.455,-0.001,3.762,0.143,-0.143,49.7,3.2,-3.2,1.41,0.33,-0.57,0.0454,89.99,1791.0,3.736013,13.838663,17.4,410.0,0.4541,6120.0,195.0,-217.0,3.934,0.398,-0.133,0.02,0.25,-0.3,2.0,0.467,-0.801,1.251,0.19,-0.233,300.31619,45.49538,1
5203,5900235,K03426.01,,CANDIDATE,CANDIDATE,58.7701045,0.000932,-0.000932,0.551,0.034,-0.46,6.995,0.414,-0.414,224.0,19.8,-19.8,1.57,0.45,-0.24,0.2893,89.42,508.0,4.692908,10.351457,13.2,21.0,0.251,6158.0,184.0,-203.0,4.397,0.108,-0.186,-0.44,0.3,-0.3,1.013,0.292,-0.157,0.934,0.128,-0.107,298.00089,41.196991,1
5204,9474756,K03495.02,,CANDIDATE,CANDIDATE,6.685438,0.000183,-0.000183,0.853,0.021,-0.602,5.09,0.801,-0.801,89.2,13.1,-13.1,1.25,0.2,-0.16,0.0704,81.09,1040.0,3.4874265,7.9569488,9.7,193.0,0.2668,5808.0,78.0,-78.0,4.326,0.11,-0.11,0.16,0.15,-0.15,1.159,0.185,-0.151,1.038,0.073,-0.066,295.55374,46.02911,1
5205,7517261,K03496.01,Kepler-1511 b,CONFIRMED,CANDIDATE,23.2385587,0.000448,-0.000448,0.355,0.108,-0.355,8.432,0.374,-0.374,161.0,11.2,-11.2,2.18,0.64,-0.57,0.1753,88.98,903.0,4.5062227,13.55673,15.5,54.0,0.7332,6602.0,181.0,-250.0,4.108,0.22,-0.18,-0.12,0.25,-0.3,1.685,0.494,-0.444,1.333,0.193,-0.236,288.4212,43.179794,1
5206,7517261,K03496.02,,CANDIDATE,CANDIDATE,8.5433774,0.000198,-0.000198,0.748,0.226,-0.505,6.149,0.478,-0.478,75.1,8.3,-8.3,1.58,0.46,-0.42,0.09,84.06,1260.0,4.052461,9.940453,10.3,151.0,0.7164,6602.0,181.0,-250.0,4.108,0.22,-0.18,-0.12,0.25,-0.3,1.685,0.494,-0.444,1.333,0.193,-0.236,288.4212,43.179794,1
5207,5653795,K07734.01,,FALSE POSITIVE,FALSE POSITIVE,118.314913,0.00336,-0.00336,0.522,0.465,-0.32,4.79,1.4,-1.4,216.0,46.0,-46.0,7.23,1.05,-3.16,0.5752,89.82,786.0,6.1146126,9.025216,7.0,7.0,0.5369,6190.0,223.0,-223.0,3.34,0.391,-0.069,-0.34,0.35,-0.35,4.763,0.694,-2.082,1.811,0.131,-0.523,299.8363,40.88673,0
5208,8424002,K03497.01,Kepler-1512 b,CONFIRMED,CANDIDATE,20.35971899,5.48e-05,-5.48e-05,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,346.0,15.2,-15.2,0.8,0.12,-0.16,0.1025,88.31,276.0,4.860193,19.605627,26.8,65.0,0.9164,3419.0,67.0,-76.0,4.904,0.084,-0.052,0.04,0.15,-0.15,0.344,0.051,-0.07,0.346,0.066,-0.081,289.27451,44.470322,1
5209,8635938,K03498.01,,FALSE POSITIVE,FALSE POSITIVE,43.798566,0.000347,-0.000347,1.182,72.64,-1.59,6.401,0.31,-0.31,290.0,13.5,-13.5,48.52,8.08,-17.5,0.2626,83.7,721.0,23.207605,28.471138,26.1,31.0,0.9187,5611.0,186.0,-152.0,3.842,0.344,-0.108,0.16,0.25,-0.25,2.227,0.371,-0.803,1.259,0.14,-0.26,295.82376,44.79591,0
5210,10464666,K03578.01,,FALSE POSITIVE,FALSE POSITIVE,131.7363049,1.52e-05,-1.52e-05,0.871,0.015,-0.013,5.28476,0.00877,-0.00877,58400.0,71.7,-71.7,54.38,33.2,-27.2,0.495,89.73,413.0,701.7393,1395.5817,1241.0,10.0,0.0126,5102.0,169.0,-138.0,3.962,0.591,-0.318,0.12,0.25,-0.25,1.669,1.019,-0.834,0.932,0.175,-0.131,289.53009,47.626221,0
5211,5024292,K03579.01,,FALSE POSITIVE,FALSE POSITIVE,4.301031137,1.15e-06,-1.15e-06,0.79,0.01,-0.011,5.65214,0.00482,-0.00482,204000.0,159.0,-159.0,93.01,31.9,-17.1,0.0581,84.21,1454.0,890.0668,6040.3384,1526.2,150.0,-1.0,6386.0,177.0,-243.0,4.208,0.115,-0.214,0.48,0.05,-0.3,1.548,0.53,-0.285,1.408,0.196,-0.196,295.30023,40.18335,0
5212,4659255,K03580.01,,FALSE POSITIVE,FALSE POSITIVE,198.0137918,3.75e-05,-3.75e-05,0.88,0.094,-0.046,9.72673,0.00974,-0.00974,143000.0,120.0,-120.0,38.49,4.24,-4.24,0.583,89.73,260.0,733.5503,1587.215,1411.3,7.0,0.8697,5359.0,159.0,-175.0,4.566,0.09,-0.06,-0.72,0.3,-0.3,0.708,0.078,-0.078,0.673,0.082,-0.033,293.04837,39.725349,0
5213,8263746,K03581.01,,FALSE POSITIVE,FALSE POSITIVE,10.9938268,5.8e-06,-5.8e-06,0.471,0.02,-0.018,5.0746,0.0142,-0.0142,419000.0,1190.0,-1190.0,52.69,4.39,-5.32,0.0868,88.97,627.0,491.14163,2751.434,469.5,0.0,-1.0,4856.0,175.0,-175.0,4.554,0.072,-0.048,-0.08,0.3,-0.3,0.743,0.062,-0.075,0.721,0.09,-0.053,300.78192,44.19405,0
5214,5877292,K07744.01,,CANDIDATE,CANDIDATE,11.7201693,0.000229,-0.000229,0.292,0.175,-0.292,2.399,0.307,-0.307,154.0,27.8,-27.8,1.34,0.46,-0.15,0.1052,89.54,870.0,3.2179818,7.305217,7.5,98.0,0.6464,6193.0,194.0,-259.0,4.434,0.056,-0.224,0.0,0.25,-0.3,1.067,0.366,-0.122,1.127,0.148,-0.164,292.13049,41.165749,1
5215,10657406,K01837.02,Kepler-969 c,CONFIRMED,CANDIDATE,1.682934607,4.91e-06,-4.91e-06,0.681,0.28,-0.479,1.8846,0.0783,-0.0783,143.0,6.8,-6.8,1.06,0.09,-0.04,0.0272,82.42,1270.0,3.890839,28.915668,24.5,788.0,0.5023,5201.0,93.0,-114.0,4.573,0.01,-0.09,0.36,0.1,-0.15,0.834,0.077,-0.026,0.948,0.019,-0.071,288.3725,47.933559,1
5216,3428468,K03582.01,,FALSE POSITIVE,FALSE POSITIVE,114.9086242,2.01e-05,-2.01e-05,0.78,0.025,-0.026,7.66397,0.00819,-0.00819,196000.0,201.0,-201.0,42.78,1.22,-3.42,0.4163,89.7,259.0,628.7095,1799.2993,1179.7,13.0,0.0,4412.0,132.0,-132.0,4.565,0.06,-0.016,0.44,0.05,-0.3,0.737,0.021,-0.059,0.729,0.037,-0.041,286.72336,38.595661,0
5217,7091432,K03353.01,Kepler-1477 b,CONFIRMED,CANDIDATE,11.55532445,7.61e-05,-7.61e-05,0.96,0.033,-0.7,3.499,0.121,-0.121,250.0,17.8,-17.8,1.7,0.21,-0.18,0.0911,83.66,674.0,4.2529984,14.371882,16.1,113.0,0.8452,5149.0,153.0,-153.0,4.506,0.093,-0.085,-0.14,0.3,-0.3,0.803,0.097,-0.088,0.755,0.106,-0.057,281.29855,42.685749,1
5218,9845909,K03354.01,,CANDIDATE,CANDIDATE,11.5706005,0.000118,-0.000118,0.416,0.027,-0.416,3.073,0.237,-0.237,212.0,25.8,-25.8,1.33,0.35,-0.16,0.0964,89.1,771.0,2.967546,7.8654885,9.6,73.0,0.8506,5718.0,172.0,-189.0,4.479,0.078,-0.182,-0.2,0.3,-0.3,0.9,0.244,-0.105,0.89,0.11,-0.09,297.37747,46.661652,1
5219,9221528,K03355.01,,CANDIDATE,CANDIDATE,16.2953228,0.000274,-0.000274,0.587,0.36,-0.365,4.882,0.355,-0.355,229.0,20.6,-20.6,1.6,0.51,-0.22,0.1264,88.41,773.0,3.7473476,11.509083,12.9,72.0,0.6004,6187.0,197.0,-241.0,4.432,0.072,-0.203,-0.24,0.25,-0.3,1.013,0.326,-0.14,1.007,0.16,-0.12,293.13409,45.626869,1
5220,6106046,K07762.01,,CANDIDATE,CANDIDATE,8.5073512,9.77e-05,-9.77e-05,0.223,0.237,-0.223,2.266,0.26,-0.26,210.0,28.6,-28.6,1.38,0.43,-0.14,0.0819,89.55,891.0,2.561864,7.893212,8.9,99.0,0.5299,5914.0,184.0,-205.0,4.483,0.054,-0.216,-0.06,0.25,-0.3,0.955,0.297,-0.099,1.011,0.127,-0.127,285.23715,41.497532,1
5221,6368230,K03356.01,Kepler-1478 b,CONFIRMED,CANDIDATE,26.0841212,0.000506,-0.000506,0.092,0.373,-0.092,6.141,0.352,-0.352,260.0,21.8,-21.8,1.35,0.41,-0.1,0.1681,89.84,598.0,3.9093409,12.720123,13.8,52.0,0.1543,6083.0,181.0,-199.0,4.563,0.036,-0.204,-0.5,0.3,-0.3,0.835,0.254,-0.063,0.933,0.097,-0.108,293.1651,41.746231,1
5222,7115291,K03357.01,,FALSE POSITIVE,FALSE POSITIVE,52.80276758,7.12e-06,-7.12e-06,1.473,0.166,-0.129,5.6184,0.0104,-0.0104,52100.0,54.8,-54.8,75.82,22.1,-8.83,0.268,88.8,472.0,374.21542,1409.5593,1238.8,23.0,0.0318,5835.0,157.0,-174.0,4.492,0.065,-0.195,-0.24,0.3,-0.3,0.901,0.263,-0.105,0.918,0.11,-0.099,291.00095,42.622231,0
5223,9907505,K03427.01,,FALSE POSITIVE,FALSE POSITIVE,39.20680865,3.15e-06,-3.15e-06,0.81,0.015,-0.014,6.24701,0.00363,-0.00363,187000.0,207.0,-207.0,50.2,16.0,-4.03,0.222,89.26,516.0,817.62646,3046.483,1274.3,23.0,0.0498,5945.0,179.0,-179.0,4.545,0.039,-0.208,-0.3,0.3,-0.3,0.861,0.274,-0.069,0.95,0.106,-0.118,297.81793,46.76421,0
5224,9027909,K03428.01,Kepler-1496 b,CONFIRMED,CANDIDATE,64.6589166,0.000898,-0.000898,0.083,0.376,-0.083,7.71,0.291,-0.291,235.0,19.6,-19.6,2.12,0.35,-0.42,0.3211,89.93,535.0,4.777947,13.318464,13.9,22.0,0.9277,5821.0,69.0,-87.0,4.172,0.162,-0.108,0.12,0.15,-0.15,1.395,0.228,-0.279,1.054,0.097,-0.081,293.97394,45.3507,1
5225,9230021,K03429.01,,CANDIDATE,CANDIDATE,15.8283833,0.000456,-0.000456,0.623,0.0,-0.498,3.643,0.527,-0.527,228.0,33.0,-33.0,1.8,0.28,-0.28,0.1213,88.66,758.0,3.039605,8.45198,9.8,70.0,0.5219,5596.0,83.0,-75.0,4.298,0.143,-0.104,0.14,0.15,-0.15,1.145,0.178,-0.178,0.95,0.07,-0.052,296.19614,45.634331,1
5226,6369845,K07777.01,,FALSE POSITIVE,FALSE POSITIVE,27.6760342,0.000534,-0.000534,0.071,0.395,-0.071,4.234,0.385,-0.385,267.0,22.4,-22.4,5.15,2.17,-1.77,0.1821,89.92,951.0,2.6776834,7.1115317,14.4,48.0,0.0779,5123.0,128.0,-128.0,3.442,0.325,-0.266,-0.4,0.3,-0.2,3.224,1.353,-1.107,1.051,0.244,-0.183,293.64758,41.730679,0
5227,9230021,K03429.02,Kepler-1497 b,CONFIRMED,CANDIDATE,8.74192361,8.71e-05,-8.71e-05,0.025,0.416,-0.025,4.235,0.184,-0.184,296.0,17.1,-17.1,1.94,0.3,-0.3,0.0817,89.91,924.0,3.521597,14.513961,18.5,130.0,0.3372,5596.0,83.0,-75.0,4.298,0.143,-0.104,0.14,0.15,-0.15,1.145,0.178,-0.178,0.95,0.07,-0.052,296.19614,45.634331,1
5230,5471688,K03499.01,,FALSE POSITIVE,FALSE POSITIVE,12.4281308,0.000379,-0.000379,0.33,0.124,-0.33,6.79,1.0,-1.0,131.0,10.6,-10.6,0.85,0.17,-0.06,0.0979,88.58,715.0,3.890607,16.704443,9.4,96.0,0.6256,5940.0,196.0,-196.0,4.621,0.036,-0.144,-0.88,0.3,-0.3,0.729,0.15,-0.05,0.819,0.064,-0.085,297.72504,40.64431,0
5231,8552719,K01792.03,Kepler-953 c,CONFIRMED,CANDIDATE,9.10969334,2.7e-05,-2.7e-05,0.761,0.01,-0.542,5.3181,0.0677,-0.0677,126.0,2.7,-2.7,1.32,0.21,-0.13,0.0862,85.02,873.0,5.195188,30.458616,47.8,140.0,0.9802,5611.0,100.0,-112.0,4.388,0.08,-0.12,0.36,0.1,-0.15,1.073,0.173,-0.106,1.026,0.057,-0.057,288.97165,44.624531,1
5233,6058816,K03500.01,,CANDIDATE,CANDIDATE,73.7502765,0.000523,-0.000523,0.127,0.317,-0.127,13.309,0.167,-0.167,233.0,7.0,-7.0,3.78,0.53,-1.31,0.3859,89.83,677.0,7.2989407,22.613316,33.9,19.0,0.1413,6056.0,81.0,-81.0,3.797,0.285,-0.095,0.14,0.15,-0.1,2.481,0.343,-0.859,1.408,0.151,-0.226,296.35461,41.33556,1
5234,6058816,K03500.02,,CANDIDATE,CANDIDATE,4.7482669,6.01e-05,-6.01e-05,0.673,0.292,-0.449,4.947,0.299,-0.299,35.6,3.4,-3.4,1.57,0.21,-0.55,0.062,83.02,1690.0,3.4414535,9.534734,12.1,280.0,0.6367,6056.0,81.0,-81.0,3.797,0.285,-0.095,0.14,0.15,-0.1,2.481,0.343,-0.859,1.408,0.151,-0.226,296.35461,41.33556,1
5235,5130740,K03583.01,,FALSE POSITIVE,FALSE POSITIVE,210.3064436,3.56e-05,-3.56e-05,1.155,0.125,-0.076,6.68665,0.00818,-0.00818,46500.0,49.4,-49.4,101.13,26.3,-26.3,0.8208,89.69,525.0,797.5308,1570.8746,1081.7,5.0,0.0179,7591.0,211.0,-343.0,4.05,0.187,-0.153,-0.08,0.15,-0.4,2.017,0.525,-0.525,1.665,0.198,-0.322,299.21945,40.212311,0
5236,9892471,K03584.01,,FALSE POSITIVE,FALSE POSITIVE,8.268081087,6.34e-07,-6.34e-07,1.099,0.474,-0.042,3.47103,0.00784,-0.00784,71500.0,73.0,-73.0,50.31,14.9,-4.97,0.0797,86.62,863.0,245.29756,2061.6868,1320.5,158.0,0.1606,5749.0,156.0,-190.0,4.502,0.05,-0.2,0.02,0.25,-0.3,0.922,0.273,-0.091,0.987,0.114,-0.114,292.53125,46.728699,0
5237,2019076,K03585.01,,FALSE POSITIVE,FALSE POSITIVE,3.564614021,4.51e-07,-4.51e-07,0.989,0.034,-0.005,3.44204,0.00504,-0.00504,94300.0,153.0,-153.0,46.0,11.9,-6.39,0.0427,83.47,1187.0,295.88556,2650.4487,728.8,342.0,0.6096,5891.0,177.0,-195.0,4.45,0.112,-0.168,-0.56,0.3,-0.3,0.892,0.231,-0.124,0.818,0.103,-0.063,292.46249,37.442619,0
5238,5879448,K07745.01,,FALSE POSITIVE,FALSE POSITIVE,533.47707,0.0326,-0.0326,0.418,0.041,-0.418,23.71,1.3,-1.3,211.0,16.3,-16.3,2.6,0.56,-0.89,1.2719,89.85,315.0,6.175865,7.8686557,15.3,3.0,0.1104,6077.0,201.0,-164.0,3.931,0.323,-0.129,-0.6,0.35,-0.25,1.759,0.373,-0.605,0.964,0.154,-0.126,292.82809,41.139351,0
5239,7376490,K03586.01,,FALSE POSITIVE,FALSE POSITIVE,5.877122413,1.78e-06,-1.78e-06,1.238,0.082,-0.062,3.7369,0.0126,-0.0126,15600.0,66.2,-66.2,45.95,13.6,-10.2,0.0601,81.16,1061.0,321.12607,1405.5465,287.6,228.0,0.9613,5778.0,155.0,-155.0,4.325,0.214,-0.195,-0.34,0.3,-0.25,1.043,0.309,-0.231,0.839,0.127,-0.063,295.68607,42.970619,0
5240,11968513,K03587.01,,FALSE POSITIVE,FALSE POSITIVE,1.036592635,1.9e-07,-1.9e-07,0.898,0.127,-0.093,2.40749,0.00794,-0.00794,125000.0,320.0,-320.0,463.05,79.6,-119.0,0.0231,77.19,4194.0,1106.6919,5147.8896,444.7,1088.0,-1.0,4884.0,58.0,-72.0,2.737,0.162,-0.108,-0.28,0.15,-0.15,8.747,1.504,-2.256,1.522,0.201,-0.47,294.3616,50.30526,0
5241,4263529,K03358.01,,CANDIDATE,CANDIDATE,10.10404351,1.04e-05,-1.04e-05,0.951,0.023,-0.676,1.0022,0.0559,-0.0559,1320.0,54.8,-54.8,4.05,0.91,-0.39,0.0876,88.37,752.0,7.6749372,47.393806,39.5,137.0,0.1988,5530.0,149.0,-149.0,4.541,0.05,-0.15,-0.14,0.3,-0.3,0.831,0.187,-0.08,0.876,0.092,-0.092,291.88907,39.361771,1
5242,7866921,K03360.01,,FALSE POSITIVE,FALSE POSITIVE,91.4999978,5.54e-05,-5.54e-05,0.736,0.002,-0.003,19.5818,0.0297,-0.0297,65500.0,131.0,-131.0,21.86,3.17,-1.95,0.3715,88.84,335.0,404.7485,1155.9072,1018.4,13.0,0.0034,5263.0,158.0,-142.0,4.572,0.045,-0.091,-0.14,0.3,-0.3,0.774,0.112,-0.069,0.816,0.085,-0.078,279.85608,43.6679,0
5243,6619815,K03361.01,Kepler-1696 b,CONFIRMED,CANDIDATE,65.9407869,0.00087,-0.00087,0.332,0.159,-0.332,7.776,0.276,-0.276,580.0,34.5,-34.5,2.33,0.64,-0.28,0.3244,89.7,454.0,5.331533,16.05288,19.8,20.0,0.2335,5982.0,168.0,-210.0,4.493,0.05,-0.2,-0.04,0.25,-0.35,0.96,0.266,-0.114,1.047,0.126,-0.153,295.57608,42.023361,1
5244,6113752,K07763.01,,FALSE POSITIVE,FALSE POSITIVE,406.45737,0.0156,-0.0156,0.428,0.034,-0.428,9.554,0.551,-0.551,284.0,25.9,-25.9,1.96,0.66,-0.26,1.1085,89.92,278.0,6.67398,8.936985,12.7,3.0,0.8323,6217.0,149.0,-204.0,4.364,0.09,-0.21,-0.02,0.25,-0.3,1.141,0.384,-0.153,1.095,0.173,-0.126,288.62289,41.44548,0
5245,3098197,K03362.01,,FALSE POSITIVE,FALSE POSITIVE,30.47639859,5.97e-05,-5.97e-05,0.92,0.071,-0.042,17.9728,0.0879,-0.0879,131000.0,684.0,-684.0,43.01,9.95,-3.33,0.1823,86.57,542.0,1180.4393,2849.2102,236.2,45.0,0.0,5913.0,159.0,-159.0,4.585,0.04,-0.16,-0.56,0.3,-0.3,0.787,0.182,-0.061,0.874,0.088,-0.096,286.00461,38.28471,0
5246,11651712,K03363.01,Kepler-1479 b,CONFIRMED,CANDIDATE,14.53260546,4.38e-05,-4.38e-05,0.112,0.335,-0.112,2.4212,0.071,-0.071,329.0,13.3,-13.3,1.69,0.51,-0.17,0.1173,89.86,746.0,4.6354613,23.430363,29.0,74.0,0.2915,6003.0,161.0,-179.0,4.507,0.052,-0.208,-0.14,0.25,-0.35,0.932,0.279,-0.093,1.019,0.131,-0.131,285.71191,49.706661,1
