rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec
4349,3240406,K03185.01,,FALSE POSITIVE,FALSE POSITIVE,0.934181579,0.62,3.943,1.21E+01,0.79,0.0228,67.58,3268,4.0272264,13.363202,19.8,1439,0.5544,7624,4.029,0.1,2.152,1.803,292.77634,38.39397
4350,11181260,K04653.01,,CANDIDATE,CANDIDATE,19.9778599,0.172,5.96,8.34E+01,1.07,0.1547,89.61,773,3.5064743,9.770229,12.8,52,0.956,6392,4.399,0.07,1.162,1.232,286.56033,48.893051
4351,5090803,K04654.01,,FALSE POSITIVE,FALSE POSITIVE,379.65261,0.1971,19.04,8.23E+01,1.2,0.9747,89.95,330,,,8,,,6471,4.141,-1.04,1.302,0.855,289.2247,40.260818
4352,2558163,K04655.01,,CANDIDATE,CANDIDATE,17.543847,0.579,5.948,1.96E+02,1.15,0.126,88.23,658,3.1010046,8.432558,9.9,81,0.3551,5957,4.579,-0.6,0.791,0.865,287.06534,37.899479
4353,8107611,K04656.01,,CANDIDATE,CANDIDATE,3.8183717,0.878,2.687,5.08E+01,1.39,0.0528,80.73,1683,3.1760168,9.259817,11.8,350,0.2273,6738,4.109,-0.18,1.692,1.351,295.24191,43.972599
4354,8377197,K04727.01,,FALSE POSITIVE,FALSE POSITIVE,1.215181097,0.1356,1.295,3.97E+01,0.87,0.0241,88.81,2230,8.278759,9.193259,11.8,1099,,6717,4.268,-0.16,1.365,1.266,295.85498,44.301601
4355,6137779,K04728.01,,FALSE POSITIVE,FALSE POSITIVE,21.5324915,0.5366,4.156,1.01E+02,1.47,0.1622,88.81,876,5.2416477,8.690173,12.1,65,,6737,4.228,-0.3,1.41,1.232,295.85782,41.415691
4356,11913072,K04729.01,,FALSE POSITIVE,FALSE POSITIVE,3.74779583,0.39,3.157,8.85E+01,1.06,0.0496,87.36,1324,3.0959795,10.836572,14.4,356,0.386,6341,4.409,-0.06,1.111,1.154,291.06143,50.22694
4357,8752940,K04730.01,,CANDIDATE,CANDIDATE,9.07829171,0.164,0.783,5.31E+02,3.69,0.0838,89.89,984,3.602735,8.633484,7,68,0.2913,5086,4.002,0.3,1.611,0.951,291.58875,44.907509
4358,9083470,K04731.01,,FALSE POSITIVE,FALSE POSITIVE,0.91842238,1.186,5.664,1.63E+02,16.07,0.0173,11.38,1525,5.1475515,9.805393,12.9,721,0.8334,5288,4.613,-0.24,0.74,0.828,289.72168,45.439758
4359,5783732,K04514.01,,FALSE POSITIVE,FALSE POSITIVE,373.43233,0.0802,16.5,1.67E+02,1.48,0.9997,89.95,290,,,12.9,,,6146,4.303,-0.36,1.141,0.954,289.5531,41.056931
4360,6278762,K03158.05,Kepler-444 A f,CONFIRMED,CANDIDATE,9.74048508,0.89,1.6993,1.21E+02,0.95,0.079,87.58,673,6.594824,31.814764,25.8,135,0.3835,5051,4.562,-0.36,0.721,0.692,289.75229,41.634605
4361,7900100,K04515.01,,FALSE POSITIVE,FALSE POSITIVE,397.73781,0.1656,13.08,4.61E+02,2.2,1.0889,89.95,264,,,8.8,,,6194,4.457,-0.12,1.02,1.086,294.85272,43.686459
4362,9849884,K04516.01,,FALSE POSITIVE,FALSE POSITIVE,5.35745121,0.119,2.592,7.82E+01,1.65,0.0639,89.57,1457,5.1829314,15.657688,16.4,201,0.6733,6123,3.982,0,1.86,1.208,298.45123,46.620861
4363,11243547,K04517.01,,FALSE POSITIVE,FALSE POSITIVE,2.16132662,0.778,4.487,1.12E+02,0.5,0.025,72.06,687,4.4834433,11.923215,25.3,618,0.2153,3754,4.818,-0.4,0.43,0.443,291.54214,48.991192
4364,4384909,K07693.01,,CANDIDATE,CANDIDATE,6.41097179,0.261,2.582,2.34E+02,1.4,0.0669,89.2,886,3.0666554,7.288215,8.5,138,0.9025,5383,4.486,0.4,0.933,0.972,296.22168,39.405762
4365,9009036,K04585.01,Kepler-1616 b,CONFIRMED,CANDIDATE,6.76289308,0.553,6.204,5.09E+01,1.21,0.0761,85.5,1337,3.5898147,10.407427,14.6,198,0.6131,6547,4.122,-0.16,1.63,1.289,286.54364,45.304871
4366,11506654,K04586.01,,CANDIDATE,CANDIDATE,75.2116373,0.058,3.203,3.63E+02,2.83,0.3708,89.98,516,5.2521744,10.52841,13.1,16,0.1715,5818,4.165,0.28,1.5,1.2,291.51758,49.43462
4367,5687700,K04587.01,,CANDIDATE,CANDIDATE,6.36283414,0.141,3.752,1.59E+02,1.12,0.0666,89.38,956,2.9347649,8.2043915,9.9,160,0.4414,5955,4.534,-0.24,0.883,0.972,285.22415,40.958931
4368,8806985,K04588.01,,CANDIDATE,CANDIDATE,7.53737498,0.225,3.966,4.11E+01,0.93,0.0802,89.1,1210,3.1857557,9.064498,11.3,178,0.7133,6483,4.206,-0.16,1.436,1.212,286.51355,45.038044
4369,10491525,K04589.01,,FALSE POSITIVE,FALSE POSITIVE,1.09844642,0.727,1.528,4.50E+01,1.73,0.0224,79.29,2921,4.735909,11.741793,15.1,971,0.9142,6403,3.772,-0.5,2.391,1.233,298.90598,47.611359
4370,3859042,K07675.01,,FALSE POSITIVE,FALSE POSITIVE,25.94947,0.678,15.7,2.38E+02,1.22,0.1613,85.94,508,3.4214857,7.846843,8.2,36,0.2332,5348,4.609,-0.24,0.748,0.838,293.73605,38.940041
4371,6527078,K04657.01,,CANDIDATE,CANDIDATE,7.57600886,0.267,3.361,4.90E+01,0.54,0.0714,89.08,778,4.682032,10.2443905,12.5,185,0.7318,5361,4.588,-0.16,0.774,0.848,293.29279,41.997589
4372,4946049,K04658.01,,FALSE POSITIVE,FALSE POSITIVE,1.8789138,0.536,4.279,3.02E+01,1.9,0.0379,79.51,3330,5.8637385,13.470228,17.8,714,0.7301,8046,3.704,-0.06,3.339,2.06,297.23672,40.034039
4373,2857607,K04659.01,,CANDIDATE,CANDIDATE,41.8681996,0.923,5.783,1.51E+02,1.25,0.2301,87.73,492,4.165129,10.880907,12.5,31,0.4179,5852,4.559,-0.3,0.837,0.928,292.51468,38.02206
4374,5559651,K04660.01,,FALSE POSITIVE,FALSE POSITIVE,0.514771509,0.222,1.256,4.34E+01,0.57,0.0124,85.94,2113,3.1897044,9.70669,12,2592,0.89,5730,4.545,-0.06,0.87,0.968,298.22543,40.783989
4375,5962262,K04661.01,,CANDIDATE,CANDIDATE,8.61742738,0.059,2.713,1.55E+02,1.01,0.0763,89.86,733,3.6935914,10.712676,11.3,153,0.6408,5009,4.491,0.16,0.84,0.797,292.46387,41.299068
4376,5437348,K04448.01,,FALSE POSITIVE,FALSE POSITIVE,35.945188,0.1278,8.23,7.26E+01,1.5,0.236,89.95,789,,,4.1,,,6578,4.087,-0.06,1.744,1.36,288.23523,40.612839
4377,8429668,K04449.01,,FALSE POSITIVE,FALSE POSITIVE,5.00749378,0.206,2.898,5.66E+01,1.68,0.0534,89.09,1499,5.1183925,12.345101,14.7,268,0.2066,5242,3.644,-0.72,2.243,0.808,291.39969,44.473099
4378,7429240,K04450.01,Kepler-1606 b,CONFIRMED,CANDIDATE,196.436796,0.019,8.556,6.32E+02,2.33,0.6446,89.99,292,5.9499454,11.060613,14.4,7,0.427,5462,4.452,0.16,0.946,0.924,286.37827,43.07325
4379,10120548,K04451.01,,CANDIDATE,CANDIDATE,8.8303681,0.746,3.426,2.96E+02,1.32,0.0767,86.87,676,3.51433,10.066968,10.9,153,0.8359,5051,4.628,-0.24,0.706,0.786,282.19565,47.105679
4380,4474462,K04452.01,,CANDIDATE,CANDIDATE,12.85755895,0.55,4.831,1.07E+02,1.23,0.1045,88.17,860,3.550841,10.89066,14.2,82,0.9132,5860,4.276,-0.2,1.156,0.922,294.30099,39.519058
4381,7032001,K04518.01,,FALSE POSITIVE,FALSE POSITIVE,0.566810643,0.315,3.471,4.56E+01,0.52,0.0126,76.68,1976,3.2324283,11.699092,17.2,2375,0.9233,5776,4.598,-0.56,0.758,0.832,291.27859,42.53738
4382,4141593,K07685.02,,CANDIDATE,CANDIDATE,33.502923,0.756,11.947,7.09E+01,1.08,0.1984,86.97,645,3.38466,7.9662275,12.5,38,0.4889,5999,4.263,-0.32,1.177,0.926,286.77313,39.277531
4383,10003058,K04519.01,,CANDIDATE,CANDIDATE,148.568877,0.243,4.399,4.04E+02,5.97,0.6365,89.95,555,4.8200283,9.631365,11.6,8,0.8943,5814,3.68,0.34,2.985,1.556,288.01013,46.978519
4384,9031703,K04520.01,,CANDIDATE,CANDIDATE,9.3335486,0.725,6.643,7.12E+01,1.69,0.0888,84.5,1082,2.7230306,8.977697,11.7,138,0.8478,5354,3.927,0.14,1.863,1.071,295.21426,45.324509
4385,6199864,K04521.01,,FALSE POSITIVE,FALSE POSITIVE,262.477098,0.0753,5.816,1.02E+03,1.92,0.6821,89.95,178,,,9.7,,,4227,4.641,-0.14,0.62,0.614,290.16943,41.54974
4386,9577855,K04522.01,,FALSE POSITIVE,FALSE POSITIVE,2.21030572,0.233,2.492,9.20E+01,1.06,0.0347,88,1572,2.8940516,10.463333,11.4,326,0.4539,6355,4.418,-0.12,1.09,1.134,286.83643,46.288509
4387,12204137,K04590.01,,CANDIDATE,CANDIDATE,9.54060855,0.031,1.869,4.62E+02,1.75,0.083,89.96,735,3.3742673,9.922385,11.2,133,0.5645,5271,4.522,0,0.831,0.839,288.87082,50.815559
4388,4386607,K07694.01,,FALSE POSITIVE,FALSE POSITIVE,5.99321872,0.02,3.92,2.03E+02,1.23,0.0638,89.9,952,3.379174,7.671934,9.5,143,0.6108,5853,4.544,-0.18,0.868,0.961,296.52655,39.49091
4389,5389956,K04591.01,,CANDIDATE,CANDIDATE,1.80926734,0.385,2.469,9.80E+01,0.89,0.0289,85.81,1444,3.408832,9.224608,10.9,738,0.951,5897,4.531,-0.16,0.891,0.983,298.54257,40.51479
4390,12108364,K04592.01,,FALSE POSITIVE,FALSE POSITIVE,0.70544189,0.328,1.772,1.34E+02,1.04,0.0155,83.68,1960,3.4118097,10.579472,13.9,1903,0.8626,5838,4.529,-0.08,0.897,0.992,289.97791,50.668259
4391,8295671,K04593.01,,FALSE POSITIVE,FALSE POSITIVE,0.981399749,0.408,0.5051,1.58E+02,1.21,0.0192,88.3,1820,4.0350547,11.549787,16.2,1362,1,6038,4.524,-0.28,0.898,0.982,290.3602,44.273361
4392,10662202,K00750.02,,CANDIDATE,CANDIDATE,5.04413987,0.727,1.623,1.72E+02,1.18,0.0533,87.52,862,3.369117,8.172602,10.2,262,0.2849,4954,4.5,0.18,0.828,0.791,290.46512,47.92918
4393,10407210,K04662.01,,FALSE POSITIVE,FALSE POSITIVE,0.933728755,0.645,4.363,1.35E+01,0.72,0.0208,64.29,2777,15.203435,10.33584,17.9,1444,0.0225,6652,4.036,-0.16,1.863,1.378,292.83698,47.55394
4394,7457278,K03188.01,,FALSE POSITIVE,FALSE POSITIVE,12.60759142,0.996,29.1267,7.95E+01,1.61,0.1089,33.09,809,4.180314,10.448241,41.6,110,0.7453,6047,4.47,0,1.002,1.081,295.30386,43.059681
4395,3934657,K07676.01,,CANDIDATE,CANDIDATE,5.3694084,0.837,3.949,4.00E+01,0.62,0.059,81.82,974,3.2594817,7.3462634,8,252,0.4386,5753,4.538,-0.12,0.869,0.951,284.73474,39.045361
4396,7515336,K04663.01,,CANDIDATE,CANDIDATE,5.65690281,0.014,3.583,3.22E+01,0.74,0.0619,89.93,1159,3.135321,8.089245,10.4,234,0.6488,5687,4.191,0.1,1.32,0.986,287.67059,43.197239
4397,8984755,K04664.01,,FALSE POSITIVE,FALSE POSITIVE,0.734573766,0.044,1.295,6.84E+01,0.86,0.0151,89.42,2061,3.9632344,8.556156,11.4,1822,0.8508,5602,4.325,-0.14,1.051,0.851,300.94925,45.247952
4398,7366895,K04665.01,,FALSE POSITIVE,FALSE POSITIVE,289.86046,0.3711,11.103,2.35E+02,1.5,0.8494,89.95,279,,,10.3,,,5914,4.451,-0.14,0.971,0.973,293.06857,42.957211
4399,10729472,K04453.01,,FALSE POSITIVE,FALSE POSITIVE,357.13089,0.1365,13.04,3.31E+02,1.62,0.9831,89.95,246,,,11.8,,,5838,4.529,-0.08,0.897,0.992,291.16476,48.052429
4400,6200612,K04454.01,,FALSE POSITIVE,FALSE POSITIVE,370.50684,0.0647,12.132,4.19E+02,2.06,1.0251,89.95,277,,,8.8,,,6360,4.458,-0.36,0.999,1.044,290.38583,41.552311
4401,9777200,K04455.01,,FALSE POSITIVE,FALSE POSITIVE,1.332580225,0.519,2.057,4.63E+01,2.18,0.0293,83.11,3111,3.4750216,12.784962,16.4,980,0.6021,6858,3.731,0.08,3.096,1.88,294.51309,46.500759
4402,3557560,K04456.01,,CANDIDATE,CANDIDATE,7.4299322,0.826,4.013,1.65E+02,1.81,0.0738,84.32,1024,4.7511687,9.546613,9.8,142,0.7297,5635,4.23,0.14,1.252,0.972,294.67126,38.698971
4403,12109267,K04457.01,,CANDIDATE,CANDIDATE,79.334347,0.652,10.886,1.65E+02,1.56,0.3653,89.13,500,4.1664915,9.8131075,14.6,17,0.8764,6384,4.33,-0.3,1.15,1.027,290.51242,50.649288
4404,8700895,K04523.01,,CANDIDATE,CANDIDATE,5.68251605,0,3.479,8.12E+01,1.03,0.0627,90,1090,3.0907645,8.313111,9.4,233,0.7368,5753,4.319,0.16,1.157,1.016,296.04425,44.80529
4405,5003670,K04524.01,,CANDIDATE,CANDIDATE,7.99144696,0.94,3.639,1.45E+02,1.53,0.0783,81.62,901,4.1936603,10.7262335,12.8,167,0.6298,5700,4.434,0.16,1.006,1.003,289.5484,40.1642
4406,5200084,K03159.01,,FALSE POSITIVE,FALSE POSITIVE,2.9039446,0.686,10.542,1.31E+01,1.17,0.0525,66.82,2637,7.948005,11.910183,32,372,0.2344,7846,3.829,0.56,3.05,2.29,295.33606,40.392132
4407,4144873,K07686.01,,FALSE POSITIVE,FALSE POSITIVE,68.538296,0.002,3.627,1.09E+03,25.77,0.3266,90,1031,5.915673,8.0025835,11.3,4,0.2386,4687,2.613,-0.2,8.123,0.988,288.03705,39.208988
4408,5003670,K04524.02,,CANDIDATE,CANDIDATE,4.52628739,0.5,3.736,9.96E+01,1.02,0.0536,86.48,1089,3.28561,9.255154,12.5,291,0.1579,5700,4.434,0.16,1.006,1.003,289.5484,40.1642
4409,9171886,K04525.01,,FALSE POSITIVE,FALSE POSITIVE,369.7985,0.1382,12.564,1.11E+03,2.53,0.9359,89.95,225,,,11.1,,,5680,4.582,-0.56,0.757,0.797,297.81274,45.508678
4410,3337061,K03172.02,,FALSE POSITIVE,FALSE POSITIVE,6.5588346,0.7173,3.034,4.12E+01,0.7,0.0687,86.52,973,,,8.1,,,5780,4.438,,1,1,290.03314,38.426861
4411,5696918,K04594.01,,FALSE POSITIVE,FALSE POSITIVE,0.643007769,0.012,0.69,6.81E+01,0.35,0.011,89.9,1070,3.4263036,7.5278573,10.3,2076,0.9863,3925,4.825,-0.84,0.421,0.432,289.07382,40.977531
4412,12265786,K04595.01,,CANDIDATE,CANDIDATE,0.597018404,0.44,0.4778,2.45E+02,1.09,0.0122,87.12,1578,3.6835895,9.75604,16.5,2237,0.999,4985,4.675,-0.54,0.63,0.688,295.41479,50.979012
4413,8487838,K04596.01,,FALSE POSITIVE,FALSE POSITIVE,1.061937837,0.125,2.31,5.20E+01,0.68,0.0206,87.98,1757,3.783932,13.259307,16.3,2521,0.1705,5893,4.505,0,0.941,1.033,288.95825,44.577999
4414,10873178,K04597.01,,CANDIDATE,CANDIDATE,4.82025124,0.538,2.129,9.41E+01,0.78,0.0531,87.91,1018,2.7681673,7.852479,8.5,220,0.2771,6035,4.591,-0.74,0.777,0.864,296.3609,48.213001
4415,11337012,K04666.01,,CANDIDATE,CANDIDATE,12.4019263,0.924,4.043,2.11E+02,1.49,0.0984,84.69,713,2.7831633,9.238561,9.5,86,0.2012,5555,4.514,-0.28,0.832,0.824,284.04172,49.138199
4416,8359569,K04667.01,,CANDIDATE,CANDIDATE,152.823896,0.119,7.734,4.56E+02,2.45,0.5895,89.96,395,5.03542,8.583475,9.9,8,0.5438,6452,4.394,-0.12,1.137,1.167,289.63535,44.379711
4417,8937762,K04668.01,,FALSE POSITIVE,FALSE POSITIVE,15.07277287,0.891,0.7794,3.45E+02,1.73,0.1132,89.3,635,3.849261,10.633059,13,176,0,5521,4.594,-0.28,0.771,0.864,285.21283,45.2514
4418,2720828,K04669.01,,FALSE POSITIVE,FALSE POSITIVE,1.71659304,0.1534,1.154,1.38E+02,1.17,0.0285,89.38,1607,5.3442087,8.421807,9.5,775,,6192,4.467,-0.22,0.987,1.037,293.14069,37.994469
4419,9837828,K04670.01,,CANDIDATE,CANDIDATE,6.80899076,1.9253,2.077,1.19E+03,89.29,0.0655,77.92,795,9.883983,9.740293,11.5,40,,4992,4.483,0.24,0.854,0.81,294.58066,46.610592
4420,4857058,K03061.02,,CANDIDATE,CANDIDATE,77.915425,0.448,8.274,1.79E+02,1.17,0.3331,89.61,367,3.6388824,7.162404,9.2,18,0.4966,5135,4.464,0.12,0.874,0.812,297.04208,39.912231
4421,8652577,K04458.01,,FALSE POSITIVE,FALSE POSITIVE,358.818895,0.825,2.503,6.66E+02,2.66,0.9572,89.93,262,5.3681116,10.44007,11.5,4,0.3228,6056,4.47,-0.46,0.918,0.908,300.29211,44.731041
4422,8804937,K04459.01,,FALSE POSITIVE,FALSE POSITIVE,181.3537,0.5983,16.19,4.55E+02,2.11,0.6407,89.38,317,,,11.7,,,5900,4.509,0.07,0.951,1.065,285.43997,45.011559
4423,9947389,K04460.01,,CANDIDATE,CANDIDATE,284.727213,0.316,10.299,3.55E+02,2.02,0.8224,89.91,278,5.3642697,10.6837435,12.7,6,0.9843,5497,4.332,0.14,1.08,0.913,290.14725,46.802872
4424,11912987,K04461.01,,FALSE POSITIVE,FALSE POSITIVE,3.74786694,0.49,3.632,8.09E+01,0.89,0.0485,85.97,1176,3.2296288,14.703155,19.1,358,0.3201,5957,4.498,0.07,0.971,1.083,291.00818,50.255589
4425,3765917,K04526.01,,CANDIDATE,CANDIDATE,30.5392931,0.045,6.887,4.28E+02,2.72,0.1942,89.93,669,4.620641,11.202491,15,37,0.4542,5803,4.211,0.14,1.328,1.046,295.96893,38.867168
4426,4136659,K07683.01,,FALSE POSITIVE,FALSE POSITIVE,0.913244995,0.286,0.4931,4.78E+01,0.77,0.0185,88.8,1967,3.4044588,7.5868635,10.2,1463,1,5923,4.402,-0.02,1.049,1.013,284.91156,39.298618
4427,3438976,K04527.01,,FALSE POSITIVE,FALSE POSITIVE,2.97599368,0.243,4.023,5.50E+01,0.79,0.0406,87.49,1395,4.693857,11.676298,13,455,0.0732,6202,4.394,-0.24,1.055,1.003,290.12021,38.534821
4428,7833305,K04528.01,,CANDIDATE,CANDIDATE,8.31224474,1.111,2.663,7.08E+01,10.63,0.0726,71.25,801,3.2472854,10.034951,12.2,155,0.376,5421,4.483,-0.4,0.816,0.739,295.37476,43.500431
4429,6610064,K04529.01,,FALSE POSITIVE,FALSE POSITIVE,0.584148495,0.584,1.6192,6.62E+01,0.87,0.013,75.84,2130,4.565875,12.366543,21.9,1146,0.8998,5427,4.347,0.06,1.031,0.861,292.97867,42.056492
4430,12647577,K04530.01,,CANDIDATE,CANDIDATE,12.6362048,0.174,3.961,1.24E+02,1.1,0.1072,89.59,774,3.4234788,9.943496,11.5,106,0.8591,5772,4.457,0.14,0.992,1.028,290.73434,51.770962
4431,5476671,K04598.01,,FALSE POSITIVE,FALSE POSITIVE,0.824180121,1.171,2.839,2.08E+02,17.8,0.0168,19.52,1912,4.394157,10.716698,39.7,1619,0.9831,5977,4.514,-0.36,0.883,0.929,298.75528,40.665218
4432,7335972,K04599.01,,FALSE POSITIVE,FALSE POSITIVE,0.579770948,0.946,1.0377,4.68E+02,2.4,0.0135,60.95,1953,3.6588078,8.160799,44.3,2296,0.9974,5561,4.561,0.07,0.854,0.968,281.04361,42.975761
4433,4252671,K07687.01,,CANDIDATE,CANDIDATE,23.266633,0.092,8.315,4.99E+01,2.66,0.1821,89.75,1156,3.9195585,8.054373,11.4,59,0.0951,5758,3.456,-0.56,3.775,1.487,288.86908,39.30986
4434,2694632,K04600.01,,FALSE POSITIVE,FALSE POSITIVE,0.92225589,0.992,4.227,3.30E+01,1.29,0.0188,17.8,2206,3.3156598,8.318092,7.1,1466,0.9274,5631,4.114,0.24,1.485,1.046,286.37338,37.919003
4435,11153476,K04601.01,,CANDIDATE,CANDIDATE,7.94004281,0.004,3.282,8.19E+01,0.98,0.0813,89.99,1010,4.163644,9.748611,10.7,134,0.2519,6278,4.425,-0.06,1.081,1.132,298.43478,48.706139
4436,6144039,K04602.01,,CANDIDATE,CANDIDATE,2.85855049,0.972,2.341,8.54E+01,1.23,0.0378,69.56,1212,4.1029744,10.196333,11.4,469,0.3396,5441,4.415,0.08,0.964,0.881,297.23273,41.433411
4437,5428471,K04671.01,,FALSE POSITIVE,FALSE POSITIVE,0.75499096,0.322,2.485,2.16E+02,1.39,0.016,82.05,1949,3.63184,8.323881,9.9,227,0.3922,5743,4.466,-0.04,0.946,0.953,284.34848,40.690659
4438,7283710,K04672.01,,FALSE POSITIVE,FALSE POSITIVE,353.40191,0.4702,6.681,9.48E+02,2.35,0.8982,89.95,202,,,9.1,,,4957,4.561,0,0.763,0.772,292.32425,42.88496
4439,5985713,K03190.01,,CANDIDATE,CANDIDATE,8.95294046,0.718,2.995,4.40E+01,0.86,0.0839,87.45,1012,3.6106873,11.1392765,13,153,0.4387,6047,4.266,-0.22,1.207,0.98,298.26816,41.251663
4440,10794509,K04673.01,,FALSE POSITIVE,FALSE POSITIVE,1.428596987,0.7017,2.1401,5.00E+01,1.62,0.0273,79.07,2637,7.8730197,9.515205,26.1,1402,,6745,3.901,-0.28,2.144,1.336,290.73431,48.16341
4441,6839010,K04674.01,,CANDIDATE,CANDIDATE,4.84350003,0.906,3.045,5.02E+01,0.9,0.0543,80.44,1121,2.885858,7.9763794,10.4,280,0.0971,5762,4.348,-0.14,1.056,0.906,282.58282,42.346352
4442,9775385,K04462.01,,CANDIDATE,CANDIDATE,45.163025,0.2057,7.03,1.30E+02,2.35,0.2944,89.95,886,,,8.7,,,7675,4.051,-0.12,2.015,1.665,293.85294,46.590809
4443,6197344,K04463.01,,CANDIDATE,CANDIDATE,36.7614011,0.984,15.982,1.61E+02,1.52,0.2,77.77,475,4.7701316,12.670772,16.2,32,0.0468,5305,4.504,-0.16,0.823,0.789,289.41428,41.51004
4444,11357664,K04464.01,,CANDIDATE,CANDIDATE,4.373570433,0.1,0.623,3.66E+02,1.23,0.0448,89.89,727,3.3638864,10.990744,14.5,306,0.1321,4362,4.623,-0.18,0.64,0.627,295.30652,49.179668
4445,2576224,K04465.01,,FALSE POSITIVE,FALSE POSITIVE,2.21701025,0.0662,2.148,2.94E+01,1.16,0.041,89.38,2371,6.927914,11.9498205,11.7,605,,7524,4.067,0.36,2.092,1.863,291.54626,37.817749
4446,3967501,K07677.01,,FALSE POSITIVE,FALSE POSITIVE,43.0759115,1.256,90.95,3.45E+03,213.46,0.2453,52.57,1032,4.340059,8.180656,323.1,26,0.6296,4766,2.919,-0.06,5.915,1.059,294.88538,39.084202
4447,7272132,K04466.01,,CANDIDATE,CANDIDATE,154.674369,0.777,9.35,4.36E+02,2.29,0.5698,89.47,371,5.420375,11.227899,13.5,7,0.0009,6338,4.449,-0.36,1.002,1.023,288.63861,42.857288
4448,6437226,K04531.01,,FALSE POSITIVE,FALSE POSITIVE,372.62637,0.5353,18.52,5.42E+02,2.38,1.0472,89.95,258,,,11.9,,,6014,4.486,0.07,0.993,1.101,289.94693,41.802818
4449,2710623,K04532.01,,FALSE POSITIVE,FALSE POSITIVE,1.02087831,0.148,2.429,3.34E+01,0.64,0.0196,87.39,1903,3.396672,8.427803,9.9,1312,0.9584,5750,4.337,0.04,1.106,0.968,290.89783,37.972778
4450,3330684,K04533.01,,FALSE POSITIVE,FALSE POSITIVE,1.26132769,0.289,1.244,1.10E+02,0.14,0.0108,87.8,447,4.16659,9.864657,9.9,1059,0.9469,2900,5.224,0,0.132,0.107,288.11703,38.437733
4451,2696703,K03161.01,,FALSE POSITIVE,FALSE POSITIVE,6.09406648,1.235,2.085,3.03E+03,54.54,0.0743,82.21,1417,20.120308,140.75116,19,222,0.3885,6785,4.162,0.18,1.666,1.47,287.0574,37.991367
4452,7699298,K04534.01,,FALSE POSITIVE,FALSE POSITIVE,1.1578141,0.564,3.253,5.48E+01,1.24,0.0204,76.35,2133,3.9331262,15.547416,27.8,1158,0.8941,5412,3.941,-0.38,1.629,0.845,296.97321,43.394669
4453,8430053,K04603.01,,CANDIDATE,CANDIDATE,15.9513866,0.197,2.285,9.92E+01,1.17,0.1311,89.79,849,3.0030296,8.915478,9.2,84,0.3728,6451,4.375,-0.08,1.168,1.181,291.53922,44.44706
4454,7115661,K03174.01,,FALSE POSITIVE,FALSE POSITIVE,0.566800926,0.971,4.407,2.65E+02,2.19,0.0134,20.83,2200,3.9765716,12.710965,63.2,2356,0.999,5780,4.438,0,1,1,291.12354,42.663353
4455,2853889,K04604.01,,FALSE POSITIVE,FALSE POSITIVE,24.1876477,1.8212,2.654,1.95E+02,118.8,0.1728,81.93,782,7.8971143,8.841166,11.4,55,,6437,4.273,-0.1,1.31,1.175,291.75128,38.034431
4456,12458605,K04605.01,,CANDIDATE,CANDIDATE,7.7859111,0.675,7.788,4.55E+01,0.68,0.0769,83.26,939,4.4103603,9.959623,12,174,0.8013,6045,4.479,-0.18,0.954,0.994,290.42307,51.388729
4457,4845862,K04606.01,,FALSE POSITIVE,FALSE POSITIVE,2.44926655,0.253,2.988,1.08E+02,0.76,0.032,87.64,1033,3.3836167,8.339693,10.7,438,0.3891,4840,4.551,-0.04,0.749,0.727,294.60608,39.920361
4458,10130057,K04675.01,,FALSE POSITIVE,FALSE POSITIVE,2.17812826,0.344,2.601,1.01E+02,0.81,0.0317,86.76,1206,3.6481752,9.10183,10.4,616,0.1007,5426,4.579,-0.06,0.805,0.903,287.14621,47.183529
4459,4953173,K04676.01,,CANDIDATE,CANDIDATE,31.183688,0.8319,6.14,1.40E+02,3.21,0.2158,87.66,876,,,7.9,,,5947,3.814,0.18,2.407,1.378,298.74335,40.07214
4460,9838608,K04677.01,,FALSE POSITIVE,FALSE POSITIVE,1.33259494,0.104,2.783,9.27E+01,0.89,0.0237,88.4,1665,4.4203463,9.329948,7.8,1010,0.2614,6063,4.51,-0.26,0.918,0.994,294.88477,46.646591
4461,4247811,K04678.01,,FALSE POSITIVE,FALSE POSITIVE,2.05048377,0.013,3.67,6.05E+01,0.66,0.0287,89.83,1339,3.2655292,11.496414,14.3,651,0.046,5568,4.451,-0.46,0.854,0.752,287.17123,39.388329
4462,6543645,K04679.01,,FALSE POSITIVE,FALSE POSITIVE,1.19550618,0.483,3.337,2.69E+01,0.78,0.0228,78.92,2152,4.46189,11.098419,13.3,1132,0.8896,6088,4.15,-0.02,1.463,1.103,297.53574,41.940571
4463,5352640,K04467.01,,CANDIDATE,CANDIDATE,2.94242323,0.447,1.519,2.93E+02,1.42,0.039,88.11,1098,2.9078948,11.339532,14.7,383,0.5345,5436,4.573,0,0.819,0.919,288.72598,40.531631
4464,8738244,K03157.01,,FALSE POSITIVE,FALSE POSITIVE,0.683082998,0.694,4.409,1.43E+02,9.92,0.0225,54.82,6757,4.8753314,8.189543,26.1,985,0.6302,8247,3.17,0.07,7.762,3.253,284.49561,44.988121
